SessionID,StudentLevel,Discipline,SessionDate,SessionLengthMin,TotalPrompts,TaskType,AI_AssistanceLevel,FinalOutcome,UsedAgain,SatisfactionRating
SESSION00001,Undergraduate,Computer Science,2024-11-03,31.2,11,Studying,2,Assignment Completed,1,1.0
SESSION00002,Undergraduate,Psychology,2024-08-25,13.09,6,Studying,3,Assignment Completed,1,2.0
SESSION00003,Undergraduate,Business,2025-01-12,19.22,5,Coding,3,Assignment Completed,1,3.3
SESSION00004,Undergraduate,Computer Science,2025-05-06,3.7,1,Coding,3,Assignment Completed,1,3.5
SESSION00005,Undergraduate,Psychology,2025-03-18,28.12,9,Writing,3,Assignment Completed,1,2.9
SESSION00006,Graduate,Business,2025-01-17,7.54,1,Coding,5,Idea Drafted,1,5.0
SESSION00007,High School,Biology,2024-09-07,14.6,3,Writing,3,Assignment Completed,0,1.9
SESSION00008,Undergraduate,Biology,2024-12-26,9.2,3,Writing,5,Assignment Completed,1,3.9
SESSION00009,Undergraduate,Business,2025-06-18,8.15,1,Brainstorming,3,Assignment Completed,1,3.3
SESSION00010,Undergraduate,Math,2025-04-14,5.57,1,Studying,3,Assignment Completed,0,1.4
SESSION00011,High School,Math,2025-02-24,24.52,6,Writing,2,Assignment Completed,0,1.9
SESSION00012,Undergraduate,Psychology,2024-11-07,11.51,5,Coding,3,Assignment Completed,0,3.9
SESSION00013,Undergraduate,History,2024-07-05,15.47,6,Studying,5,Idea Drafted,1,4.9
SESSION00014,Undergraduate,Business,2024-11-03,24.13,5,Writing,4,Idea Drafted,1,3.7
SESSION00015,High School,Computer Science,2025-05-21,22.51,8,Writing,3,Assignment Completed,1,4.9
SESSION00016,High School,Psychology,2024-11-22,22.16,6,Coding,2,Idea Drafted,1,2.8
SESSION00017,Undergraduate,Business,2025-04-27,6.46,2,Writing,5,Confused,1,5.0
SESSION00018,High School,Biology,2025-04-13,18.36,4,Studying,2,Confused,0,1.2
SESSION00019,Undergraduate,Math,2024-12-08,18.26,4,Studying,5,Assignment Completed,0,4.9
SESSION00020,High School,Engineering,2024-08-03,19.36,6,Studying,4,Assignment Completed,1,3.5
SESSION00021,Undergraduate,Engineering,2025-05-03,26.79,11,Brainstorming,3,Idea Drafted,1,4.4
SESSION00022,Undergraduate,Business,2025-01-09,11.11,2,Homework Help,5,Assignment Completed,0,4.9
SESSION00023,Undergraduate,Biology,2025-04-21,19.87,8,Studying,2,Idea Drafted,1,3.1
SESSION00024,Undergraduate,Math,2025-05-05,17.65,4,Coding,3,Gave Up,0,3.6
SESSION00025,Graduate,Psychology,2024-11-27,8.1,3,Homework Help,5,Idea Drafted,1,4.3
SESSION00026,Undergraduate,Biology,2024-09-14,11.86,2,Writing,2,Idea Drafted,1,3.2
SESSION00027,Undergraduate,History,2024-08-28,6.42,2,Homework Help,4,Idea Drafted,1,4.0
SESSION00028,High School,Math,2024-09-05,27.55,7,Writing,3,Confused,1,3.5
SESSION00029,Undergraduate,Psychology,2025-02-20,27.28,6,Studying,2,Confused,0,3.4
SESSION00030,Undergraduate,Engineering,2025-02-26,5.03,2,Studying,3,Confused,0,2.5
SESSION00031,High School,Biology,2024-12-28,23.79,6,Studying,3,Gave Up,0,2.4
SESSION00032,Undergraduate,Computer Science,2025-04-20,19.04,7,Studying,3,Idea Drafted,0,3.3
SESSION00033,High School,Psychology,2025-02-06,22.89,10,Coding,3,Idea Drafted,1,2.6
SESSION00034,Undergraduate,Business,2025-04-10,10.59,4,Writing,3,Gave Up,0,3.9
SESSION00035,Undergraduate,Math,2025-03-21,25.1,7,Coding,4,Confused,1,4.3
SESSION00036,Undergraduate,Biology,2024-07-19,5.76,1,Writing,1,Confused,1,1.2
SESSION00037,Undergraduate,Engineering,2025-04-09,33.79,8,Writing,2,Assignment Completed,0,1.6
SESSION00038,Undergraduate,Psychology,2024-09-20,13.64,5,Writing,2,Assignment Completed,1,2.6
SESSION00039,High School,Biology,2025-05-14,2.48,1,Studying,2,Idea Drafted,1,2.2
SESSION00040,Graduate,Engineering,2025-03-06,11.77,3,Coding,4,Assignment Completed,1,4.4
SESSION00041,Undergraduate,Computer Science,2025-06-21,33.29,15,Writing,2,Idea Drafted,1,1.7
SESSION00042,Undergraduate,Biology,2025-06-13,20.27,6,Studying,3,Confused,0,3.4
SESSION00043,High School,History,2025-04-23,33.63,7,Homework Help,4,Assignment Completed,1,5.0
SESSION00044,Undergraduate,Psychology,2025-01-01,4.54,1,Writing,5,Confused,0,4.6
SESSION00045,Undergraduate,Biology,2025-01-26,15.08,3,Writing,4,Assignment Completed,1,4.8
SESSION00046,High School,Math,2025-04-19,27.97,6,Writing,3,Assignment Completed,1,1.4
SESSION00047,High School,Engineering,2024-12-18,46.11,12,Homework Help,4,Assignment Completed,1,3.4
SESSION00048,Undergraduate,Biology,2024-11-21,13.25,4,Research,2,Confused,0,1.4
SESSION00049,Graduate,Engineering,2024-10-27,16.9,6,Studying,3,Assignment Completed,1,3.7
SESSION00050,Graduate,History,2025-02-28,28.49,5,Writing,5,Assignment Completed,1,5.0
SESSION00051,Undergraduate,Psychology,2024-11-14,13.43,3,Studying,2,Idea Drafted,1,2.3
SESSION00052,Graduate,Business,2024-09-09,22.72,11,Studying,2,Assignment Completed,1,1.0
SESSION00053,Undergraduate,Computer Science,2025-06-08,7.98,1,Research,4,Idea Drafted,1,4.2
SESSION00054,High School,Biology,2024-07-10,15.52,3,Writing,5,Assignment Completed,1,5.0
SESSION00055,Undergraduate,Psychology,2024-07-08,6.98,2,Coding,2,Idea Drafted,1,2.8
SESSION00056,Undergraduate,Engineering,2024-12-16,6.25,2,Coding,4,Assignment Completed,1,5.0
SESSION00057,High School,Engineering,2024-09-05,58.92,19,Homework Help,4,Assignment Completed,1,3.9
SESSION00058,Undergraduate,Biology,2024-06-25,9.56,4,Coding,3,Assignment Completed,1,4.9
SESSION00059,High School,Business,2025-01-31,31.58,9,Studying,4,Idea Drafted,1,4.6
SESSION00060,Graduate,Psychology,2024-11-09,2.38,1,Studying,5,Assignment Completed,0,4.5
SESSION00061,Undergraduate,Computer Science,2024-06-30,17.72,6,Homework Help,2,Assignment Completed,1,3.1
SESSION00062,Undergraduate,Math,2025-03-09,14.78,7,Coding,3,Assignment Completed,0,2.5
SESSION00063,Undergraduate,Computer Science,2025-06-21,10.6,2,Coding,2,Assignment Completed,1,1.7
SESSION00064,Undergraduate,Business,2024-11-15,5.47,1,Homework Help,4,Assignment Completed,1,3.9
SESSION00065,High School,Psychology,2025-03-02,12.2,2,Brainstorming,4,Idea Drafted,1,4.4
SESSION00066,Undergraduate,Biology,2024-11-02,8.89,3,Coding,3,Assignment Completed,1,2.7
SESSION00067,Undergraduate,Computer Science,2024-12-02,6.84,1,Studying,3,Idea Drafted,1,2.5
SESSION00068,Undergraduate,Business,2025-04-11,12.79,2,Coding,3,Assignment Completed,1,3.8
SESSION00069,Undergraduate,History,2025-05-15,41.2,12,Studying,3,Idea Drafted,1,3.1
SESSION00070,Graduate,Computer Science,2024-06-26,16.56,6,Homework Help,2,Assignment Completed,1,3.0
SESSION00071,Undergraduate,Engineering,2024-10-24,10.4,3,Studying,4,Idea Drafted,1,5.0
SESSION00072,Undergraduate,Business,2025-05-24,11.04,5,Coding,3,Confused,0,2.3
SESSION00073,Undergraduate,Math,2024-12-20,5.3,1,Coding,3,Assignment Completed,1,2.3
SESSION00074,High School,Engineering,2024-07-27,14.02,4,Studying,4,Confused,0,4.4
SESSION00075,High School,Psychology,2024-08-15,49.67,10,Writing,5,Assignment Completed,0,5.0
SESSION00076,Graduate,Biology,2025-05-17,13.4,3,Studying,4,Assignment Completed,1,5.0
SESSION00077,Undergraduate,Engineering,2024-07-31,26.8,8,Writing,3,Idea Drafted,1,2.5
SESSION00078,Undergraduate,History,2025-02-09,7.29,1,Coding,5,Assignment Completed,1,5.0
SESSION00079,Graduate,Business,2025-01-12,48.37,20,Homework Help,3,Assignment Completed,1,3.2
SESSION00080,Undergraduate,History,2025-01-28,37.05,13,Coding,2,Idea Drafted,1,1.8
SESSION00081,Undergraduate,History,2025-04-17,15.94,6,Homework Help,3,Assignment Completed,0,4.3
SESSION00082,Undergraduate,Computer Science,2024-08-08,16.4,4,Studying,4,Assignment Completed,1,4.2
SESSION00083,Undergraduate,Math,2025-02-09,19.56,7,Brainstorming,5,Confused,0,5.0
SESSION00084,Graduate,Business,2024-08-15,11.48,2,Homework Help,3,Idea Drafted,1,2.5
SESSION00085,Undergraduate,Business,2024-12-24,16.28,3,Writing,2,Idea Drafted,0,1.5
SESSION00086,High School,Math,2025-01-01,7.34,2,Writing,2,Confused,0,2.6
SESSION00087,Graduate,Business,2025-01-24,16.32,3,Coding,5,Assignment Completed,1,4.2
SESSION00088,High School,Business,2025-01-24,14.88,5,Homework Help,3,Assignment Completed,1,4.1
SESSION00089,Undergraduate,History,2025-04-01,14.59,4,Homework Help,3,Assignment Completed,1,3.5
SESSION00090,Undergraduate,Business,2025-04-15,4.65,1,Studying,4,Confused,0,3.1
SESSION00091,Undergraduate,Computer Science,2024-11-03,24.83,8,Writing,3,Assignment Completed,1,3.4
SESSION00092,Undergraduate,Biology,2024-08-09,10.39,2,Writing,5,Assignment Completed,0,5.0
SESSION00093,Undergraduate,Math,2025-02-21,35.49,16,Homework Help,5,Confused,1,5.0
SESSION00094,Graduate,History,2025-05-04,12.9,3,Homework Help,2,Confused,1,1.0
SESSION00095,High School,Business,2024-07-06,9.77,2,Homework Help,2,Assignment Completed,1,2.0
SESSION00096,Graduate,Biology,2025-04-25,11.12,4,Writing,4,Gave Up,0,3.9
SESSION00097,High School,History,2025-05-14,30.82,14,Homework Help,4,Assignment Completed,1,2.3
SESSION00098,Undergraduate,Engineering,2025-02-26,27.26,7,Homework Help,3,Gave Up,1,2.8
SESSION00099,Undergraduate,Math,2024-10-25,11.17,3,Studying,4,Idea Drafted,1,2.7
SESSION00100,Graduate,Psychology,2024-09-27,4.68,1,Studying,3,Confused,0,2.8
SESSION00101,Graduate,Biology,2024-10-23,24.33,5,Homework Help,4,Assignment Completed,1,3.5
SESSION00102,Undergraduate,Engineering,2025-01-18,16.16,4,Studying,4,Assignment Completed,1,1.9
SESSION00103,Undergraduate,Business,2025-05-09,8.75,3,Homework Help,3,Idea Drafted,1,1.0
SESSION00104,Undergraduate,Psychology,2024-12-06,14.9,3,Writing,3,Idea Drafted,0,1.6
SESSION00105,Undergraduate,Biology,2024-10-15,14.8,5,Coding,3,Assignment Completed,1,3.0
SESSION00106,Undergraduate,Business,2024-07-09,7.82,2,Studying,4,Idea Drafted,1,3.7
SESSION00107,Undergraduate,Psychology,2025-05-23,39.45,8,Studying,4,Idea Drafted,1,3.2
SESSION00108,High School,Business,2024-08-04,16.63,4,Studying,1,Confused,0,1.5
SESSION00109,Graduate,Math,2024-07-15,41.83,16,Studying,2,Idea Drafted,0,1.9
SESSION00110,Graduate,Engineering,2025-06-23,15.97,6,Writing,3,Assignment Completed,1,3.5
SESSION00111,Graduate,Computer Science,2024-10-18,39.43,16,Research,4,Gave Up,0,5.0
SESSION00112,Undergraduate,Biology,2025-03-09,28.36,7,Writing,4,Assignment Completed,1,3.9
SESSION00113,Undergraduate,Biology,2024-08-16,10.94,5,Coding,5,Idea Drafted,1,3.6
SESSION00114,Undergraduate,Psychology,2025-03-21,25.5,6,Homework Help,3,Assignment Completed,1,3.6
SESSION00115,High School,Math,2024-10-02,23.19,9,Homework Help,4,Assignment Completed,0,2.9
SESSION00116,High School,Business,2025-05-06,13.61,3,Writing,3,Idea Drafted,1,3.6
SESSION00117,Graduate,Psychology,2024-11-18,18.01,4,Writing,3,Idea Drafted,1,3.1
SESSION00118,Undergraduate,Biology,2024-08-22,22.8,4,Writing,4,Confused,0,3.7
SESSION00119,Undergraduate,Computer Science,2024-10-11,15.91,5,Research,4,Idea Drafted,0,3.1
SESSION00120,Undergraduate,Math,2024-11-03,20.93,9,Studying,5,Assignment Completed,1,5.0
SESSION00121,Undergraduate,History,2025-05-20,33.88,7,Writing,5,Idea Drafted,1,4.3
SESSION00122,High School,Biology,2024-12-01,7.12,3,Brainstorming,3,Assignment Completed,0,2.4
SESSION00123,Undergraduate,Engineering,2024-07-22,19.37,4,Studying,2,Gave Up,0,2.7
SESSION00124,Undergraduate,Math,2025-01-16,16.79,4,Brainstorming,5,Confused,0,4.4
SESSION00125,Graduate,Biology,2024-11-12,13.61,3,Brainstorming,5,Assignment Completed,1,3.6
SESSION00126,Undergraduate,Math,2024-07-23,19.28,5,Writing,3,Assignment Completed,0,2.5
SESSION00127,Graduate,Biology,2025-01-03,16.64,4,Studying,3,Gave Up,1,2.5
SESSION00128,Undergraduate,Psychology,2024-10-21,18.61,4,Writing,5,Assignment Completed,1,4.4
SESSION00129,High School,Computer Science,2025-04-06,14.37,4,Research,5,Assignment Completed,0,4.7
SESSION00130,Undergraduate,Psychology,2024-10-18,3.6,1,Writing,4,Assignment Completed,1,4.9
SESSION00131,Undergraduate,History,2024-11-29,37.72,7,Writing,3,Assignment Completed,1,2.9
SESSION00132,Undergraduate,Math,2024-07-02,8.05,2,Coding,5,Assignment Completed,1,4.5
SESSION00133,Undergraduate,Psychology,2024-07-04,20.21,5,Studying,3,Idea Drafted,0,2.6
SESSION00134,Graduate,Psychology,2024-10-12,14.06,3,Homework Help,5,Gave Up,0,5.0
SESSION00135,Undergraduate,Computer Science,2024-10-29,15.82,4,Writing,4,Idea Drafted,1,3.6
SESSION00136,High School,Computer Science,2024-09-03,6.97,2,Studying,4,Gave Up,0,4.2
SESSION00137,Undergraduate,Business,2025-03-27,2.54,1,Coding,5,Idea Drafted,1,5.0
SESSION00138,Graduate,Psychology,2024-07-30,10.73,4,Writing,4,Idea Drafted,0,5.0
SESSION00139,Undergraduate,Business,2025-05-27,18.37,4,Coding,5,Assignment Completed,1,5.0
SESSION00140,Graduate,Math,2024-08-16,8.62,2,Coding,3,Assignment Completed,1,2.1
SESSION00141,Undergraduate,Computer Science,2025-06-20,23.52,11,Writing,3,Assignment Completed,1,2.3
SESSION00142,Undergraduate,History,2025-01-13,20.13,5,Research,5,Idea Drafted,0,5.0
SESSION00143,Graduate,History,2025-02-13,15.46,4,Studying,5,Confused,0,5.0
SESSION00144,Undergraduate,History,2025-02-11,14.86,6,Brainstorming,3,Assignment Completed,1,2.7
SESSION00145,Graduate,Computer Science,2025-05-20,18.14,6,Coding,3,Assignment Completed,1,2.3
SESSION00146,High School,Business,2024-08-01,16.64,7,Brainstorming,5,Assignment Completed,1,5.0
SESSION00147,Undergraduate,Math,2024-11-11,31.16,6,Writing,3,Idea Drafted,1,2.8
SESSION00148,Undergraduate,Engineering,2024-08-07,11.21,3,Studying,3,Idea Drafted,1,1.6
SESSION00149,Undergraduate,Psychology,2024-07-30,10.41,2,Writing,4,Assignment Completed,1,2.8
SESSION00150,Undergraduate,Math,2024-10-04,26.97,6,Homework Help,4,Confused,0,3.7
SESSION00151,High School,Computer Science,2025-04-18,22.46,10,Studying,3,Confused,1,2.6
SESSION00152,Graduate,Psychology,2024-10-31,7.53,2,Studying,4,Assignment Completed,1,3.2
SESSION00153,Graduate,Biology,2024-10-25,14.95,3,Coding,4,Idea Drafted,1,2.2
SESSION00154,Undergraduate,Engineering,2025-06-04,15.7,5,Homework Help,5,Assignment Completed,1,3.3
SESSION00155,Graduate,Computer Science,2024-08-11,25.73,8,Homework Help,4,Assignment Completed,1,3.7
SESSION00156,Undergraduate,Business,2024-09-02,7.61,3,Homework Help,3,Assignment Completed,1,3.2
SESSION00157,Undergraduate,Business,2025-02-02,20.22,6,Homework Help,2,Assignment Completed,1,1.0
SESSION00158,Undergraduate,Business,2024-09-14,14.04,3,Coding,4,Idea Drafted,1,4.2
SESSION00159,Graduate,Computer Science,2025-02-05,12.47,4,Homework Help,2,Assignment Completed,1,3.8
SESSION00160,Undergraduate,Engineering,2025-04-30,6.51,1,Coding,4,Assignment Completed,1,4.0
SESSION00161,Undergraduate,Business,2024-07-24,11.77,4,Coding,3,Assignment Completed,1,2.9
SESSION00162,Undergraduate,History,2024-09-21,13.1,2,Writing,3,Assignment Completed,1,1.3
SESSION00163,Graduate,Psychology,2024-07-13,3.22,1,Homework Help,5,Assignment Completed,1,4.8
SESSION00164,High School,Engineering,2024-10-09,11.77,2,Writing,5,Assignment Completed,0,4.4
SESSION00165,High School,Computer Science,2024-10-22,8.04,1,Writing,3,Assignment Completed,0,3.3
SESSION00166,High School,Business,2025-05-16,8.32,1,Studying,2,Idea Drafted,0,1.0
SESSION00167,High School,Computer Science,2025-04-15,11.18,3,Homework Help,3,Confused,1,3.2
SESSION00168,Undergraduate,Math,2025-01-23,40.08,9,Coding,4,Assignment Completed,1,4.1
SESSION00169,Undergraduate,Engineering,2025-04-13,8.02,2,Coding,4,Assignment Completed,1,4.7
SESSION00170,Undergraduate,Computer Science,2025-01-20,6.85,1,Writing,4,Confused,0,4.7
SESSION00171,Undergraduate,Business,2025-06-13,24.99,5,Studying,4,Idea Drafted,1,3.3
SESSION00172,Undergraduate,Engineering,2025-05-23,1.2,1,Studying,4,Assignment Completed,0,3.9
SESSION00173,Undergraduate,Engineering,2024-07-24,21.11,8,Homework Help,3,Assignment Completed,1,3.3
SESSION00174,High School,Math,2025-05-05,13.04,3,Writing,2,Confused,0,1.0
SESSION00175,Undergraduate,Engineering,2025-03-27,20.31,7,Studying,4,Idea Drafted,1,4.0
SESSION00176,Undergraduate,Psychology,2025-01-23,16.66,3,Writing,3,Assignment Completed,1,3.1
SESSION00177,Undergraduate,Business,2025-06-22,13.47,2,Writing,4,Assignment Completed,1,3.8
SESSION00178,Undergraduate,Biology,2025-02-03,9.27,2,Writing,4,Assignment Completed,1,5.0
SESSION00179,Undergraduate,Engineering,2025-05-27,11.43,2,Writing,3,Assignment Completed,1,3.3
SESSION00180,Graduate,Psychology,2025-03-19,19.55,8,Coding,3,Confused,0,1.2
SESSION00181,Undergraduate,Computer Science,2025-01-22,8.34,2,Writing,3,Assignment Completed,1,4.9
SESSION00182,Undergraduate,Computer Science,2024-10-17,3.55,1,Studying,3,Idea Drafted,1,2.3
SESSION00183,Undergraduate,Psychology,2025-06-10,9.93,3,Coding,5,Assignment Completed,1,5.0
SESSION00184,High School,Business,2025-01-24,3.64,1,Writing,5,Idea Drafted,1,4.4
SESSION00185,Undergraduate,Business,2025-03-06,38.8,8,Writing,3,Idea Drafted,1,3.4
SESSION00186,High School,Psychology,2024-10-17,8.9,2,Studying,5,Confused,0,4.7
SESSION00187,Undergraduate,Business,2024-08-02,20.62,4,Writing,2,Assignment Completed,1,2.1
SESSION00188,Graduate,Biology,2025-06-06,27.27,6,Coding,5,Assignment Completed,1,4.5
SESSION00189,Undergraduate,Biology,2024-11-27,39.67,19,Coding,4,Assignment Completed,0,3.9
SESSION00190,High School,Math,2025-04-12,9.45,3,Homework Help,4,Assignment Completed,1,3.5
SESSION00191,Undergraduate,Computer Science,2025-06-20,13.43,2,Writing,3,Gave Up,1,3.9
SESSION00192,Undergraduate,Computer Science,2024-07-09,11.71,3,Homework Help,3,Confused,1,2.9
SESSION00193,Graduate,Computer Science,2024-10-23,16.22,5,Homework Help,3,Assignment Completed,1,3.2
SESSION00194,Undergraduate,Biology,2025-06-15,19.03,4,Studying,3,Gave Up,0,3.6
SESSION00195,Undergraduate,Computer Science,2025-05-30,10.37,4,Studying,4,Confused,0,4.3
SESSION00196,Undergraduate,Business,2024-12-04,37.05,14,Studying,5,Idea Drafted,1,5.0
SESSION00197,Undergraduate,Business,2024-07-30,26.61,5,Brainstorming,4,Assignment Completed,0,3.3
SESSION00198,Undergraduate,Computer Science,2025-03-06,72.82,25,Homework Help,2,Gave Up,0,2.0
SESSION00199,Graduate,Computer Science,2024-10-31,24.43,5,Homework Help,5,Assignment Completed,0,5.0
SESSION00200,Undergraduate,Business,2024-10-06,15.52,4,Studying,2,Confused,0,2.8
SESSION00201,Graduate,Business,2025-04-07,1.68,1,Homework Help,3,Confused,1,1.7
SESSION00202,Graduate,Computer Science,2024-07-14,13.99,2,Homework Help,3,Confused,0,4.3
SESSION00203,Undergraduate,History,2024-08-16,23.58,6,Coding,4,Idea Drafted,0,3.9
SESSION00204,High School,Biology,2024-07-20,19.3,6,Studying,4,Assignment Completed,1,2.5
SESSION00205,High School,Biology,2024-07-30,31.13,6,Homework Help,4,Assignment Completed,1,2.5
SESSION00206,Graduate,Psychology,2025-02-07,14.96,4,Studying,2,Idea Drafted,1,1.8
SESSION00207,Undergraduate,Business,2024-06-25,47.16,17,Studying,4,Assignment Completed,1,3.3
SESSION00208,Undergraduate,Biology,2024-08-04,4.48,1,Homework Help,3,Assignment Completed,1,3.2
SESSION00209,Undergraduate,Engineering,2025-06-05,39.95,9,Homework Help,4,Gave Up,0,3.9
SESSION00210,Undergraduate,History,2024-12-26,48.04,10,Coding,5,Confused,0,3.9
SESSION00211,Undergraduate,Math,2024-07-10,7.55,3,Writing,4,Gave Up,0,5.0
SESSION00212,High School,Engineering,2024-12-23,20.2,5,Studying,3,Assignment Completed,0,4.0
SESSION00213,Undergraduate,Psychology,2025-05-04,20.35,7,Coding,4,Assignment Completed,0,5.0
SESSION00214,Undergraduate,Computer Science,2024-11-11,84.15,31,Homework Help,5,Confused,0,5.0
SESSION00215,Undergraduate,Business,2024-11-28,10.54,4,Writing,5,Idea Drafted,1,5.0
SESSION00216,High School,History,2025-01-20,5.76,1,Homework Help,5,Assignment Completed,1,5.0
SESSION00217,Undergraduate,Engineering,2024-08-04,10.93,3,Research,1,Confused,0,2.0
SESSION00218,Undergraduate,Biology,2024-10-04,11.12,2,Homework Help,3,Assignment Completed,1,2.5
SESSION00219,Undergraduate,Psychology,2024-08-24,43.1,12,Studying,3,Idea Drafted,1,3.0
SESSION00220,Graduate,Math,2025-02-08,5.18,1,Studying,4,Assignment Completed,1,4.9
SESSION00221,Graduate,Business,2025-06-23,23.58,6,Writing,3,Idea Drafted,1,3.2
SESSION00222,Undergraduate,Engineering,2025-01-27,30.16,11,Homework Help,2,Assignment Completed,1,2.4
SESSION00223,Undergraduate,Biology,2025-06-06,17.16,5,Coding,3,Assignment Completed,1,2.4
SESSION00224,High School,History,2025-04-28,24.37,6,Writing,3,Assignment Completed,1,4.4
SESSION00225,Graduate,Engineering,2024-09-28,15.24,5,Studying,4,Assignment Completed,0,4.3
SESSION00226,Graduate,Biology,2024-07-25,44.81,11,Writing,5,Assignment Completed,1,4.9
SESSION00227,High School,History,2024-10-31,18.58,8,Research,5,Confused,0,3.8
SESSION00228,Graduate,Math,2024-08-28,11.51,3,Homework Help,5,Assignment Completed,1,5.0
SESSION00229,Graduate,Business,2024-09-03,62.93,17,Writing,2,Assignment Completed,0,1.9
SESSION00230,Undergraduate,Computer Science,2025-03-02,33.3,7,Coding,3,Confused,0,2.3
SESSION00231,Graduate,Psychology,2025-06-15,18.47,8,Studying,4,Idea Drafted,0,3.7
SESSION00232,Undergraduate,Psychology,2025-01-30,46.97,20,Homework Help,3,Assignment Completed,1,1.0
SESSION00233,Undergraduate,Business,2025-03-23,16.77,4,Writing,2,Assignment Completed,1,1.5
SESSION00234,High School,History,2025-05-26,15.87,3,Coding,4,Assignment Completed,1,3.3
SESSION00235,Undergraduate,Psychology,2024-08-03,15.21,7,Writing,2,Assignment Completed,1,1.1
SESSION00236,Undergraduate,Computer Science,2025-02-23,33.03,10,Writing,2,Assignment Completed,0,2.0
SESSION00237,Undergraduate,Psychology,2025-05-05,28.1,10,Coding,3,Assignment Completed,1,3.3
SESSION00238,Undergraduate,Business,2024-06-30,10.52,4,Writing,4,Assignment Completed,1,3.5
SESSION00239,Graduate,Math,2024-12-23,39.41,8,Writing,3,Assignment Completed,1,3.0
SESSION00240,Undergraduate,Psychology,2024-09-16,8.87,4,Homework Help,3,Confused,0,4.1
SESSION00241,Undergraduate,Engineering,2025-04-03,28.1,13,Writing,5,Idea Drafted,1,5.0
SESSION00242,Graduate,Biology,2025-03-26,5.57,2,Writing,5,Gave Up,0,4.7
SESSION00243,Undergraduate,Business,2024-08-12,4.8,2,Homework Help,2,Assignment Completed,1,2.4
SESSION00244,Undergraduate,Computer Science,2024-08-28,10.72,3,Writing,3,Confused,0,3.6
SESSION00245,Undergraduate,Engineering,2025-04-06,20.1,5,Coding,4,Assignment Completed,1,4.2
SESSION00246,Undergraduate,Biology,2025-05-09,9.18,4,Homework Help,2,Idea Drafted,1,2.2
SESSION00247,Graduate,Biology,2025-05-25,17.91,7,Studying,5,Idea Drafted,1,3.3
